Time,Azimuth,Zenith
0.00408,-13.81303373,81.75993963
0.00409,-13.85788761,81.70706157
0.0041,-13.90205664,81.65433304
0.00411,-13.9455396,81.60175739
0.00412,-13.98833531,81.54933797
0.00413,-14.03044263,81.49707815
0.00414,-14.07186047,81.4449813
0.00415,-14.11258777,81.39305081
0.00416,-14.15262351,81.34129008
0.00417,-14.1919667,81.2897025
0.00418,-14.23061643,81.2382915
0.00419,-14.26857177,81.1870605
0.0042,-14.30583189,81.13601293
0.00421,-14.34239595,81.08515224
0.00422,-14.37826319,81.03448189
0.00423,-14.41343286,80.98400532
0.00424,-14.44790426,80.93372602
0.00425,-14.48167675,80.88364747
0.00426,-14.5147497,80.83377314
0.00427,-14.54712254,80.78410654
0.00428,-14.57879473,80.73465117
0.00429,-14.60976578,80.68541054
0.0043,-14.64003523,80.63638818
0.00431,-14.66960267,80.58758761
0.00432,-14.69846773,80.53901236
0.00433,-14.72663007,80.49066598
0.00434,-14.7540894,80.44255201
0.00435,-14.78084548,80.39467402
0.00436,-14.80689808,80.34703556
0.00437,-14.83224705,80.2996402
0.00438,-14.85689225,80.25249152
0.00439,-14.8808336,80.2055931
0.0044,-14.90407104,80.15894851
0.00441,-14.92660457,80.11256137
0.00442,-14.94843424,80.06643525
0.00443,-14.9695601,80.02057377
0.00444,-14.98998228,79.97498052
0.00445,-15.00970094,79.92965913
0.00446,-15.02871628,79.88461319
0.00447,-15.04702852,79.83984634
0.00448,-15.06463796,79.79536219
0.00449,-15.08154492,79.75116437
0.0045,-15.09774975,79.70725651
0.00451,-15.11325286,79.66364223
0.00452,-15.12805469,79.62032517
0.00453,-15.14215573,79.57730897
0.00454,-15.1555565,79.53459726
0.00455,-15.16825757,79.49219368
0.00456,-15.18025955,79.45010188
0.00457,-15.19156308,79.40832548
0.00458,-15.20216885,79.36686814
0.00459,-15.21207759,79.3257335
0.0046,-15.22129008,79.2849252
0.00461,-15.22980711,79.24444687
0.00462,-15.23762955,79.20430217
0.00463,-15.24475828,79.16449472
0.00464,-15.25119423,79.12502818
0.00465,-15.25693839,79.08590617
0.00466,-15.26199176,79.04713233
0.00467,-15.2663554,79.00871029
0.00468,-15.27003039,78.97064369
0.00469,-15.27301788,78.93293614
0.0047,-15.27531904,78.89559128
0.00471,-15.27693509,78.85861272
0.00472,-15.27786727,78.82200408
0.00473,-15.27811689,78.78576896
0.00474,-15.27768527,78.74991098
0.00475,-15.27657379,78.71443374
0.00476,-15.27478388,78.67934082
0.00477,-15.27231697,78.64463583
0.00478,-15.26917457,78.61032233
0.00479,-15.2653582,78.57640391
0.0048,-15.26086944,78.54288414
0.00481,-15.25570991,78.50976658
0.00482,-15.24988125,78.47705478
0.00483,-15.24338514,78.44475228
0.00484,-15.23622333,78.41286263
0.00485,-15.22839758,78.38138934
0.00486,-15.2199097,78.35033594
0.00487,-15.21076152,78.31970594
0.00488,-15.20095494,78.28950283
0.00489,-15.19049187,78.25973009
0.0049,-15.17937428,78.2303912
0.00491,-15.16760416,78.20148964
0.00492,-15.15518355,78.17302884
0.00493,-15.14211452,78.14501224
0.00494,-15.12839919,78.11744329
0.00495,-15.1140397,78.09032537
0.00496,-15.09903824,78.06366191
0.00497,-15.08339703,78.03745627
0.00498,-15.06711833,78.01171184
0.00499,-15.05020443,77.98643196
0.005,-15.03265768,77.96161998
0.00501,-15.01448044,77.93727922
0.00502,-14.99567511,77.913413
0.00503,-14.97624414,77.89002459
0.00504,-14.95619,77.86711729
0.00505,-14.93551521,77.84469433
0.00506,-14.91422231,77.82275897
0.00507,-14.89231388,77.80131442
0.00508,-14.86979255,77.78036389
0.00509,-14.84666097,77.75991055
0.0051,-14.82292182,77.73995757
0.00511,-14.79857782,77.72050809
0.00512,-14.77363173,77.70156523
0.00513,-14.74808633,77.68313209
0.00514,-14.72194445,77.66521176
0.00515,-14.69520895,77.64780728
0.00516,-14.6678827,77.6309217
0.00517,-14.63996863,77.61455802
0.00518,-14.61146969,77.59871924
0.00519,-14.58238887,77.58340831
0.0052,-14.55272918,77.56862818
0.00521,-14.52249367,77.55438177
0.00522,-14.49168542,77.54067196
0.00523,-14.46030753,77.52750163
0.00524,-14.42836315,77.5148736
0.00525,-14.39585544,77.5027907
0.00526,-14.36278761,77.49125571
0.00527,-14.32916288,77.48027138
0.00528,-14.29498451,77.46984046
0.00529,-14.26025579,77.45996564
0.0053,-14.22498004,77.45064961
0.00531,-14.18916059,77.44189499
0.00532,-14.15280083,77.43370442
0.00533,-14.11590414,77.42608048
0.00534,-14.07847396,77.41902573
0.00535,-14.04051373,77.41254268
0.00536,-14.00202694,77.40663385
0.00537,-13.96301709,77.40130168
0.00538,-13.92348772,77.39654862
0.00539,-13.88344237,77.39237705
0.0054,-13.84288463,77.38878936
0.00541,-13.8018181,77.38578786
0.00542,-13.76024641,77.38337487
0.00543,-13.71817322,77.38155265
0.00544,-13.67560219,77.38032342
0.00545,-13.63253704,77.3796894
0.00546,-13.58898148,77.37965273
0.00547,-13.54493924,77.38021554
0.00548,-13.50041411,77.38137994
0.00549,-13.45540986,77.38314796
0.0055,-13.40993029,77.38552163
0.00551,-13.36397924,77.38850293
0.00552,-13.31756055,77.3920938
0.00553,-13.27067809,77.39629615
0.00554,-13.22333574,77.40111185
0.00555,-13.1755374,77.40654272
0.00556,-13.127287,77.41259055
0.00557,-13.07858847,77.4192571
0.00558,-13.02944578,77.42654408
0.00559,-12.97986288,77.43445315
0.0056,-12.92984377,77.44298596
0.00561,-12.87939246,77.45214408
0.00562,-12.82851296,77.46192908
0.00563,-12.77720931,77.47234246
0.00564,-12.72548556,77.48338568
0.00565,-12.67334576,77.49506017
0.00566,-12.62079401,77.50736733
0.00567,-12.56783437,77.52030847
0.00568,-12.51447096,77.53388491
0.00569,-12.46070789,77.54809791
0.0057,-12.40654928,77.56294866
0.00571,-12.35199927,77.57843834
0.00572,-12.29706201,77.59456807
0.00573,-12.24174164,77.61133894
0.00574,-12.18604235,77.62875198
0.00575,-12.12996829,77.64680817
0.00576,-12.07352366,77.66550848
0.00577,-12.01671265,77.68485379
0.00578,-11.95953946,77.70484496
0.00579,-11.90200828,77.7254828
0.0058,-11.84412334,77.74676808
0.00581,-11.78588886,77.76870151
0.00582,-11.72730906,77.79128377
0.00583,-11.66838816,77.81451548
0.00584,-11.60913042,77.83839721
0.00585,-11.54954005,77.8629295
0.00586,-11.48962132,77.88811284
0.00587,-11.42937846,77.91394765
0.00588,-11.36881572,77.94043434
0.00589,-11.30793736,77.96757323
0.0059,-11.24674763,77.99536462
0.00591,-11.18525078,78.02380877
0.00592,-11.12345107,78.05290586
